A0,A1,A2,A3,A4,"A5,",Emotion,Angl,ValAng,FuzzValue,FuzzStr,rule
A0,A1,A2,A3,A4,"A5,",Emotion,Angl,,,,
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A0,1.1282228808,0.4744201052,M,0.4744201052
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A1,0.2856090934,0.6268407899,M,0.2973858735
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A2,1.2014626691,0.2556258792,M,0.0760195254
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A3,0.3390207592,0.7654643812,M,0.058190239
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A4,0.6085503123,0.8216550362,M,0.0478123029
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_1,A5,1.1282228808,0.7516975578,M,0.0359403913
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A0,1.1282228808,0.538081387,L,0.0193388556
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A1,0.2856090934,0.6814827083,M,0.0131790957
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A2,1.2014626691,0.8020384353,M,0.0105701413
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A3,0.3390207592,0.2860208315,M,0.0030232806
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A4,0.6085503123,0.7096277498,M,0.0021454038
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_2,A5,1.1282228808,0.4555298938,L,0.0009772956
1.1282228808,0.2856090934,1.2014626691,0.3390207592,0.6085503123,1.1282228808,Emo_3,A0,1.1282228808,0.4201958888,M,0.0004106556
